DONNÉES;data3

Sun 17 Jan 2021

ARTICLES EN VENTE
CODE;DÉSIGNATION;PV

BIÈRE
beni;beninoise 33cl;2000
bf;beaufort 33cl;2000
bièreNA;bière non alcoolisée 25cl;2000
cast;castel 33cl;2000
despe;desperados 33cl;2500
eku;eku 33cl;2000
grimbergen;grimbergen bière kriet;2000
gui;guinness 33cl;2500
hein25;heineken 25 cl;2500
lef25;leffe 25 cl;2000
panach25;panachee 25cl;2000
pils;pils 33cl;2000
skol;skol 33cl;2000

BOISSONCHAUDE
cafeCap;café en capsule;1000
cafeSac;sachet de café;1000
cappuccino;1 tasse de cappuccino;1500
lipton;1 sachet de lipton;0
theCitron;thé lipton au citron;1500
thé;un thé avec lipton;1000
théCitron;1 thé de citron;1500
théTGV;thé spécial TGV;2500

CHAMPAGNE
affinity;champagne sans alcool;30000
champNA;champagne non alcoolisé;30000
champNARo;champagne non alcoolisé rosé;0
fereix;champagne fereixnet prosecco;40000
lagaBrut1.5L;lagache brut M 1.5L;0
lagaBrutRes;lagache brut réservée ;50000
lagaNatB;lagache nature blanc;80000
lagaPrestD1.5L;lagache prestige d1.5L;0
lagaRo;lagache rosée;80000
laurentPer;laurent perrier;65000
lucBelFantome;bout luc bellaire fantome;60000
lucBelRo;luc bellaire rosé;65000
moetB1.5L;moet brut 1.5L;0
moetBrut;moet brut simple;65000
moetIceImp;moet ice impérial ;120000
moetNect;moet chandon nectar;115000
moetNectRo;meot nectar Rosé;115000
moetNectar;bout moet c. nectar;80000
moetRo;moet rosé;90000
princessFr;princesse de france;60000
remyTresBrut;remy trésor brut;50000
ruinBlBl;ruinart blanc de blanc;150000
ruinBrut;ruinart brut;110000
ruinRo;ruinart rosé;150000
toso;toso;0
trouillard;champagne trouillard;60000
veuveClicot;veuve clicot;80000

CHICHA
chicha;chicha;0

CIGARE
cHabano;cigare cohiba habano;5000
cHabanoCM;cigare habano cm;0
cHoyo;cigare cohiba hoyo;0

COCKTAIL
akpakpa;cocktail akpakpa;3500
amour;cocktail Amour;4000
dapaong;cocktail dapaong;4000
elom;cocktail elom;4000
ganhi;cocktail ganhi;4000
haieVive;cocktail haie vive;4000
laitCoco;une boite de lait de coco;0
malibuOrange;cocktail malibu avec du jus;3000
mojitoClassic;cocktail mojito classic;4000
mojitoParf;cocktail de mojito parfumé;4000
mojitoVierge;mojito sans alcool;3000
pinkMiami;1 cocktail pinkmiami;2500
planB;coctail plan B;6000
planteur;cocktail planteur;2500
punchCaraib;cocktail punch caraibénne;3000
quartierJac;cocktail quartier Jac;3000
sexAple;cocktail sex apple;2500
stadeAmitie;cocktail stade d'amitié;4000
tgv1;cocktail tgv1;4000
tgv2;cocktail tgv2;4000
tgv3;tequila, grenatdine, vodka;4000
tgvNA;cocktail TGV non alcoolisé;3000
tgvRoyal;cocktail tgv royal;8000
toiMoi;cocktail toi et moi;4000
